Table S12.D. Example calculation for 10 year cardiovascular risk simplified models - PREVENT Enhanced for SDI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"(min(SBP, 110) – 110) /20",0,0,0,0,0,0,0,0,0,0,0,,
"(max(SBP, 110) – 130) /20",1.5,0.5071782,0.48534795,0.51040215,0.4769214,0.51861075,0.5253615,0.5140959,0.46369215,0.52071075,0.51010575,,
Diabetes,1,0.8624372,0.7722496,0.838022,0.7156422,1.02632,0.9252453,0.8984391,0.761924,0.8069261,0.6577977,,
Cursmk,0,0,0,0,0,0,0,0,0,0,0,,
"(min(BMI, 30) – 25) /5",1,0,0,0,0,-0.0168447,-0.0866297,0,0,0,0,,
"(max(BMI, 30) – 30) /5",1,0,0,0,0,0.2805126,0.3706765,0,0,0,0,,
"(min(eGFR, 60) – 60) / -15",0,0,0,0,0,0,0,0,0,0,0,,
"(max(eGFR, 60)  – 90) / -15",0,0,0,0,0,0,0,0,0,0,0,,
Antihtn,1,0.3182166,0.2634094,0.2270648,0.1786233,0.3491487,0.2688352,0.208945,0.1225093,0.2405852,0.2497899,,
Statin,0,0,0,0,0,0,0,0,0,0,0,,
"(max(SBP, 110) – 130) /20 × Antihtn",1.5,-0.08616825,-0.05505195,-0.052422750000000004,-0.0424695,-0.13355025,-0.0652338,-0.11996910000000001,-0.09212324999999999,-0.01080765,0.02129865,,
((TC – HDL-C) × 0.02586 – 3.5) × Statin,0,0,0,0,0,0,0,0,0,0,0,,
(age-55)/10 × ((TC – HDL-C) × 0.02586 – 3.5) ,-0.2541500000000001,0.02122381235000001,0.012902407635000003,0.015856164350000007,0.007263759490000003,0,0,0.018592343250000008,0.013817932180000006,0.011743864860000003,-0.0055028812150000024,,
(age-55)/10 × (HDL-C × 0.02586 – 1.3) /0.3 ,0.22716666666666682,0.006410211716666671,0.0040516538000000026,0.0064766579666666714,0.005618922066666671,0,0,0.010599119616666675,0.011663986083333341,0.003070816283333335,-0.0023543780500000014,,
"(age-55)/10 × (max(SBP, 110) – 130) /20",-0.75,0.071448525,0.079450275,0.077528325,0.06896205,0.0728271,0.09728662500000002,0.066988575,0.0632247,0.088889775,0.08617905000000001,,
(Age-55)/10 × Diabetes,-0.5,0.1359483,0.11183775,0.12389225,0.09907455,0.1764039,0.149543,0.12915845,0.1061752,0.12644825,0.0982927,,
(Age-55)/10 × Cursmk,0,0,0,0,0,0,0,0,0,0,0,,
"(Age-55)/10 × (max(BMI, 30) – 30) /5",-0.5,0,0,0,0,-0.0032499,-0.00652415,0,0,0,0,,
"(Age-55)/10 × (min(eGFR, 60) – 60) / -15",0,0,0,0,0,0,0,0,0,0,0,,
IF(SDI decile between 4 and 6),0,0,0,0,0,0,0,0,0,0,0,,
IF(SDI decile between 7 and 10),1,0.2421409,0.291897,0.2451878,0.2824453,0.2496522,0.3592212,0.2469497,0.2464877,0.2267393,0.3361503,,
Constant,1,-3.461564,-3.159572,-3.955898,-3.624712,-4.409382,-4.058977,-4.754823,-4.254527,-4.520553,-4.37499,,
log-Odds ,NA (calculated from the inputs above),-1.6841581746533336,-1.5005586496483332,-2.1933634923099996,-2.05312443894,-2.3305094,-1.9682848249999991,-2.9838923247733335,-2.708922997746667,-2.7796042897066666,-2.7608747527016666,,
Risk,,0.1565456427896422,0.18234221797505024,0.10034803473666953,0.11373705460993858,0.08862750903165648,0.12257323285777438,0.04815889193744639,0.06244887909530149,0.058436324320371096,0.059475415120951225,,
,,,,,,,,,,,,,
Table. Beta coefficients for simplified PREVENT Equations (regression of log-odds of the risk from the full PREVENT model on risk factors) and goodness of fit statistics (R-square),,,,,,,,,,,,,
Risk Factors,,Total CVD,,ASCVD,,Heart Failure,,Coronary Heart Disease,,Stroke,,,
,,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men,,
Age per 10 years,,0.7754083,0.7756377,0.7028123,0.7150087,0.8819156,0.894179,0.7583013,0.7373893,0.6883817,0.7163792,,
non-HDL-C per 1 mmol/L,,0.0221756,0.0715325,0.1056078,0.1627339,,,0.1609442,0.2569383,0.0468715,0.0167351,,
HDL-C per 0.3 mmol/L,,-0.1650828,-0.0976775,-0.1502263,-0.1194988,,,-0.2079405,-0.1900041,-0.1034667,-0.0265039,,
SBP <110 per 20 mmHg,,-0.2180808,-0.5186614,-0.0488757,-0.363659,-0.4495491,-0.7067398,-0.0275333,-0.4378936,-0.0975923,-0.2920414,,
SBP ≥110 per 20 mmHg,,0.3381188,0.3235653,0.3402681,0.3179476,0.3457405,0.350241,0.3427306,0.3091281,0.3471405,0.3400705,,
Diabetes,,0.8624372,0.7722496,0.838022,0.7156422,1.02632,0.9252453,0.8984391,0.761924,0.8069261,0.6577977,,
Current smoking,,0.4663953,0.3761129,0.4064592,0.3404477,0.5371646,0.4364765,0.4576379,0.3312286,0.3665732,0.3475259,,
"BMI <30, per 5 kg/m2",,,,,,-0.0168447,-0.0866297,,,,,,
"BMI 30+, per 5 kg/m2",,,,,,0.2805126,0.3706765,,,,,,
"eGFR <60, per -15 ml",,0.5919004,0.5180893,0.4838394,0.3545754,0.7315223,0.6696768,0.5195616,0.3577071,0.452297,0.381238,,
"eGFR 60+, per -15 ml",,0.0516821,0.0118451,0.0480415,0.0157875,0.0651679,0.0237374,0.0352758,0.0122218,0.0599795,0.0221544,,
Anti-hypertensive use,,0.3182166,0.2634094,0.2270648,0.1786233,0.3491487,0.2688352,0.208945,0.1225093,0.2405852,0.2497899,,
Statin use,,-0.1460816,-0.1455263,-0.0585626,-0.1018269,,,-0.0468689,-0.0793738,-0.0793314,-0.1131643,,
Treated SBP ≥110 mm Hg per 20 mm Hg,,-0.0574455,-0.0367013,-0.0349485,-0.028313,-0.0890335,-0.0434892,-0.0799794,-0.0614155,-0.0072051,0.0141991,,
Treated non-HDL-C,,0.1302287,0.1617785,0.1017299,0.1209467,,,0.1104907,0.0930825,0.0939351,0.1614911,,
Age per 10yr * non-HDL-C per 1 mmol/L,,-0.083509,-0.0507669,-0.062389,-0.0285806,,,-0.073155,-0.0543692,-0.0462084,0.0216521,,
Age per 10yr * HDL-C per 0.3 mml/L,,0.0282181,0.0178356,0.0285106,0.0247348,,,0.0466579,0.0513455,0.0135179,-0.0103641,,
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg,,-0.0952647,-0.1059337,-0.1033711,-0.0919494,-0.0971028,-0.1297155,-0.0893181,-0.0842996,-0.1185197,-0.1149054,,
Age per 10yr * diabetes,,-0.2718966,-0.2236755,-0.2477845,-0.1981491,-0.3528078,-0.299086,-0.2583169,-0.2123504,-0.2528965,-0.1965854,,
Age per 10yr * current smoking,,-0.0641738,-0.0723216,-0.0544326,-0.0776891,-0.106216,-0.1079522,-0.0428336,-0.0917351,-0.0683003,-0.0603548,,
Age per 10yr * BMI 30+ per 5 kg/m2,,,,,,0.0064998,0.0130483,,,,,,
"Age per 10yr * eGFR <60, per -15 ml",,-0.1717026,-0.1548205,-0.1735372,-0.1284899,-0.1899413,-0.1797791,-0.1663626,-0.0781765,-0.1805488,-0.1894784,,
SDI decile categories 4-6 vs. 1-3,,0.1442776,0.0889119,0.1473705,0.0728242,0.1343318,0.1235632,0.1729684,0.0784806,0.1122838,0.0858942,,
SDI decile categories 7-10 vs. 1-3,,0.2421409,0.291897,0.2451878,0.2824453,0.2496522,0.3592212,0.2469497,0.2464877,0.2267393,0.3361503,,
Missing SDI,,0.1885076,0.1508151,0.1691593,0.1437348,0.1915023,0.17924,0.1678342,0.1005084,0.148597,0.1931235,,
Constant,,-3.461564,-3.159572,-3.955898,-3.624712,-4.409382,-4.058977,-4.754823,-4.254527,-4.520553,-4.37499,,
"*Beta coefficients can be interpreted as log odds ratios.  The dependent variable is the log-odds of the risk (log of risk /(1-risk)). Continous variables were centered at age 55, non-HDL-C 3.5, HDL-C 1.3, SBP 130, BMI 25, eGFR 90, ACR 1. Categorical variables used a value of 0 for no DM,  non-smoker, and no medication as the reference group. Therefore, the constant (intercept) applies to an individual with all of the values listed in this footnote. Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR).  Cholesterol (TC, HDL and calculated non-HDL-C) is converted to mmol/L from mg/dl by multiplying by 0.02586.  eGFR is calculated from serum creatinine using the CKD-EPI race free equation.",,,,,,,,,,,,,
R-square of the simplified risk equation regression,,0.9996,0.9989,0.9994,0.9984,0.9996,0.9991,0.9995,0.9984,0.9993,0.9983,,
,,,,,,,,,,,,,
Simplified equation calibration check using linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediction variables are missing ,,,,,,,,,,,,,
beta,,1.0153,1.0032,1.0117,1.0075,0.9643,0.9973,0.9969,1.0476,0.983,0.988,,
R-square,,0.9989,0.9988,0.9989,0.9988,0.9993,0.9988,0.9989,0.9977,0.9991,0.9992,,
